category,value
C,9.575715574845127
C,1.0389645832057974
B,3.676917197177259
B,7.139218540501969
C,4.903629083307846
D,2.085066840919436
B,8.787693126361958
B,8.046238560461521
A,4.067382396578353
B,5.755711500047144
D,3.164039307466239
C,6.589124472337913
B,7.332889563913212
A,5.210367321979686
C,4.4325255150038005
C,7.284152798547198
A,8.832763141505467
D,4.911937733779495
A,5.70802830964821
A,9.617510043152022
C,3.361651379496835
D,1.7903696595172112
D,2.4316850343690692
D,1.1485370344972625
B,2.7963596347420467
C,5.946155985134275
B,7.904944393370391
B,5.444765083182737
D,6.721406076031305
B,7.186654757350014
C,1.203471937754332
B,7.036424493304635
C,5.065552378306339
C,8.715149261609778
C,7.037180763763957
C,7.017413278151007
B,9.288177588096971
C,9.27096087408988
B,7.532145646564494
B,2.886075026799996
D,1.1429606467700548
C,5.512833242785579
B,7.894879634442119
C,8.562159258963707
C,6.326641545248296
D,2.9920019430274665
C,1.1805433803209158
D,5.098328674834524
A,7.569173946706261
C,4.737503529769316
