category,value
A,6.823084011193751
D,7.781944986079893
A,1.4878303869265923
D,1.6791140611893134
A,2.8563389754541166
A,8.69113422022987
C,2.633984981735418
A,6.744404879936254
A,2.8814816573356374
D,9.307420738309538
D,7.8524003757973535
D,3.520183754177597
B,1.851257606937499
A,1.780826769128633
B,9.383297062748868
A,5.789461697098375
B,8.350387412676685
B,5.568244490316457
B,6.1260358753465765
A,7.125441644240993
B,2.183358048419805
D,7.579564056592851
B,4.470386348551477
B,8.661732324250352
A,7.0225542959321094
A,3.579463639669375
C,5.530794374450183
C,8.025842103790746
C,5.682719933270562
C,7.095239688485911
C,7.007184278230067
C,8.41404914029939
D,7.636598360706867
C,2.5665767768598613
C,4.917905715442033
C,7.991216629818106
C,6.209125845788124
A,6.798615446881495
C,7.070977306423732
D,3.705483509523399
B,4.507777015565708
D,8.381128731896833
A,8.102416375091828
C,1.8633980471421365
D,3.791518979980731
A,8.982784349605245
C,8.896462127243582
B,3.9360249631804014
B,9.283523193041775
A,3.8696929512357516
